replication	sample	demand_type	total_demand	selected_count	selected	context_market	context_trend	context_promotion	context_attention
1	19	CONDITIONAL_MEAN	2037.7262670827	9	1|2|3|4|7|8|9|10|11	0.5672438084	0.3166666667	0.9487595013	0.7248642053
1	20	REALIZED	2433.7113360381	9	1|2|3|4|5|8|9|10|11	0.3207670866	0.3333333333	0.8100016254	0.8821456377
1	20	CONDITIONAL_MEAN	1942.4956999516	9	1|2|3|4|7|8|9|10|11	0.3207670866	0.3333333333	0.8100016254	0.8821456377
1	21	REALIZED	1764.5647153533	9	1|2|4|5|6|8|9|10|11	0.6772368471	0.3500000000	0.8282506877	0.4963749273
1	21	CONDITIONAL_MEAN	1954.4551390645	9	1|2|3|4|7|8|9|10|11	0.6772368471	0.3500000000	0.8282506877	0.4963749273
1	22	REALIZED	1040.9069328385	6	1|2|3|9|10|11	0.2296444283	0.3666666667	0.8247551429	0.1113464771
1	22	CONDITIONAL_MEAN	1568.8112107174	9	1|2|3|4|6|8|9|10|11	0.2296444283	0.3666666667	0.8247551429	0.1113464771
1	23	REALIZED	1411.4502097828	8	1|2|4|7|8|9|10|11	0.9804220180	0.3833333333	0.7952831680	0.0582337576
1	23	CONDITIONAL_MEAN	1904.2056409242	9	1|2|3|4|7|8|9|10|11	0.9804220180	0.3833333333	0.7952831680	0.0582337576
1	24	REALIZED	2392.1615726622	9	1|2|3|4|5|7|9|10|11	0.6399145109	0.4000000000	0.1431621330	0.7634601059
1	24	CONDITIONAL_MEAN	1807.4319587122	9	1|2|3|4|7|8|9|10|11	0.6399145109	0.4000000000	0.1431621330	0.7634601059
1	25	REALIZED	983.4687148377	6	1|2|4|9|10|11	0.0334181580	0.4166666667	0.4222167487	0.5017559803
1	25	CONDITIONAL_MEAN	1514.4386159184	9	1|2|3|4|6|8|9|10|11	0.0334181580	0.4166666667	0.4222167487	0.5017559803
1	26	REALIZED	1635.4924408187	9	2|3|4|5|6|8|9|10|11	0.1021067439	0.4333333333	0.5356183806	0.1918875540
1	26	CONDITIONAL_MEAN	1459.8723767987	9	1|2|3|4|6|8|9|10|11	0.1021067439	0.4333333333	0.5356183806	0.1918875540
1	27	REALIZED	1282.7912559439	9	1|2|4|6|7|8|9|10|11	0.4230760323	0.4500000000	0.1655845109	0.1372861443
1	27	CONDITIONAL_MEAN	1449.9330721006	8	1|2|4|6|8|9|10|11	0.4230760323	0.4500000000	0.1655845109	0.1372861443
1	28	REALIZED	2436.7263146823	9	1|2|4|5|7|8|9|10|11	0.2880010685	0.4666666667	0.4410875216	0.9520588626
1	28	CONDITIONAL_MEAN	1874.6279724969	9	1|2|3|4|6|8|9|10|11	0.2880010685	0.4666666667	0.4410875216	0.9520588626
1	29	REALIZED	885.2508137630	6	1|2|4|8|10|11	0.0371150425	0.4833333333	0.2947947637	0.0573424298
1	29	CONDITIONAL_MEAN	1294.4909528117	7	1|2|4|8|9|10|11	0.0371150425	0.4833333333	0.2947947637	0.0573424298
1	30	REALIZED	1869.8306690513	9	0|1|2|3|4|8|9|10|11	0.8577879679	0.5000000000	0.1772522421	0.8484279461
1	30	CONDITIONAL_MEAN	2013.3800265498	9	1|2|3|4|7|8|9|10|11	0.8577879679	0.5000000000	0.1772522421	0.8484279461
1	31	REALIZED	1652.0798105183	9	1|2|3|4|5|8|9|10|11	0.6900227274	0.5166666667	0.3147096205	0.3494676517
1	31	CONDITIONAL_MEAN	1767.7700888002	9	1|2|4|5|6|8|9|10|11	0.6900227274	0.5166666667	0.3147096205	0.3494676517
1	32	REALIZED	1036.2525701131	7	1|2|4|8|9|10|11	0.0152248441	0.5333333333	0.6293512433	0.3979041255
1	32	CONDITIONAL_MEAN	1597.4236465350	9	1|2|3|4|6|8|9|10|11	0.0152248441	0.5333333333	0.6293512433	0.3979041255
1	33	REALIZED	2075.0005952791	9	1|2|4|5|7|8|9|10|11	0.0216343030	0.5500000000	0.2991721670	0.9558215663
1	33	CONDITIONAL_MEAN	1730.5331075370	9	1|2|3|4|6|8|9|10|11	0.0216343030	0.5500000000	0.2991721670	0.9558215663
1	34	REALIZED	1306.2793560721	8	1|2|4|5|6|8|9|10	0.3459573171	0.5666666667	0.0426312310	0.6460108833
1	34	CONDITIONAL_MEAN	1651.3541897929	9	1|2|3|4|6|8|9|10|11	0.3459573171	0.5666666667	0.0426312310	0.6460108833
1	35	REALIZED	1581.0770326733	9	1|2|3|4|6|8|9|10|11	0.3825814330	0.5833333333	0.9499426562	0.2167887167
1	35	CONDITIONAL_MEAN	1845.2725894400	9	1|2|3|4|7|8|9|10|11	0.3825814330	0.5833333333	0.9499426562	0.2167887167
1	36	REALIZED	2046.5524125707	9	0|1|2|4|5|8|9|10|11	0.7770830311	0.6000000000	0.8944363594	0.9356863109
1	36	CONDITIONAL_MEAN	2349.8283495646	9	1|2|3|4|5|8|9|10|11	0.7770830311	0.6000000000	0.8944363594	0.9356863109
1	37	REALIZED	2522.6998794144	9	1|2|3|4|5|6|8|9|10	0.9782528029	0.6166666667	0.8081638885	0.8733235120
1	37	CONDITIONAL_MEAN	2392.1747024196	9	1|2|3|4|5|8|9|10|11	0.9782528029	0.6166666667	0.8081638885	0.8733235120
1	38	REALIZED	1387.9233147466	7	1|2|4|8|9|10|11	0.7891753693	0.6333333333	0.0411540273	0.3868308719
1	38	CONDITIONAL_MEAN	1779.1538543980	9	1|2|4|5|6|8|9|10|11	0.7891753693	0.6333333333	0.0411540273	0.3868308719
1	39	REALIZED	1909.8323582497	9	0|1|2|3|4|8|9|10|11	0.1237384085	0.6500000000	0.9564137728	0.9532234275
1	39	CONDITIONAL_MEAN	2090.4525889355	9	1|2|3|4|7|8|9|10|11	0.1237384085	0.6500000000	0.9564137728	0.9532234275
1	40	REALIZED	3689.7544424522	9	0|1|2|3|4|5|8|9|10	0.5164902644	0.6666666667	0.8414802715	0.9867263723
1	40	CONDITIONAL_MEAN	2257.7599789500	9	1|2|3|4|7|8|9|10|11	0.5164902644	0.6666666667	0.8414802715	0.9867263723
1	41	REALIZED	2444.8592746105	9	0|1|2|3|6|7|8|9|10	0.9385062047	0.6833333333	0.8260034600	0.1052136252
1	41	CONDITIONAL_MEAN	2061.8441389422	9	1|2|3|4|5|8|9|10|11	0.9385062047	0.6833333333	0.8260034600	0.1052136252
1	42	REALIZED	2105.7298321080	9	1|2|4|5|7|8|9|10|11	0.9824564969	0.7000000000	0.2790818598	0.2909247984
1	42	CONDITIONAL_MEAN	1956.4510877930	9	1|2|3|4|7|8|9|10|11	0.9824564969	0.7000000000	0.2790818598	0.2909247984
1	43	REALIZED	2468.1320997449	9	1|2|3|4|5|8|9|10|11	0.9127279214	0.7166666667	0.6681981723	0.7562064821
1	43	CONDITIONAL_MEAN	2298.9673100018	9	1|2|3|4|5|8|9|10|11	0.9127279214	0.7166666667	0.6681981723	0.7562064821
1	44	REALIZED	1293.3701857719	8	1|2|4|6|8|9|10|11	0.3156832008	0.7333333333	0.1324087850	0.4991488850
1	44	CONDITIONAL_MEAN	1685.8358040946	9	1|2|3|4|6|8|9|10|11	0.3156832008	0.7333333333	0.1324087850	0.4991488850
1	45	REALIZED	1764.0811647619	9	0|1|2|3|4|8|9|10|11	0.3480518868	0.7500000000	0.6456100778	0.9953177218
1	45	CONDITIONAL_MEAN	2141.6298940814	9	1|2|3|4|7|8|9|10|11	0.3480518868	0.7500000000	0.6456100778	0.9953177218
1	46	REALIZED	2051.0390700334	9	1|2|4|5|7|8|9|10|11	0.4908645230	0.7666666667	0.4642231106	0.7935366776
1	46	CONDITIONAL_MEAN	2053.9973653233	9	1|2|3|4|7|8|9|10|11	0.4908645230	0.7666666667	0.4642231106	0.7935366776
1	47	REALIZED	1995.4833732565	9	1|2|4|5|7|8|9|10|11	0.9144095683	0.7833333333	0.8716434523	0.4864939829
1	47	CONDITIONAL_MEAN	2290.4244886081	9	1|2|3|4|5|8|9|10|11	0.9144095683	0.7833333333	0.8716434523	0.4864939829
1	48	REALIZED	1465.4902567514	9	1|2|3|4|7|8|9|10|11	0.5377538024	0.8000000000	0.4848005366	0.2339614092
1	48	CONDITIONAL_MEAN	1845.7817750902	9	1|2|3|4|7|8|9|10|11	0.5377538024	0.8000000000	0.4848005366	0.2339614092
1	49	REALIZED	2656.2432486125	9	1|2|3|4|5|8|9|10|11	0.2807084424	0.8166666667	0.5764475907	0.4926314537
1	49	CONDITIONAL_MEAN	1884.0872014946	9	1|2|3|4|7|8|9|10|11	0.2807084424	0.8166666667	0.5764475907	0.4926314537
1	50	REALIZED	1941.3901586980	9	1|2|3|4|5|6|8|9|10	0.5928252298	0.8333333333	0.6465528439	0.6082951809
1	50	CONDITIONAL_MEAN	2124.0488368711	9	1|2|3|4|7|8|9|10|11	0.5928252298	0.8333333333	0.6465528439	0.6082951809
1	51	REALIZED	2020.5006183861	9	0|1|2|4|5|8|9|10|11	0.6399546597	0.8500000000	0.6466075357	0.3799122679
1	51	CONDITIONAL_MEAN	2050.7436746733	9	1|2|3|4|7|8|9|10|11	0.6399546597	0.8500000000	0.6466075357	0.3799122679
1	52	REALIZED	2226.2182038013	9	0|1|2|4|5|7|8|9|10	0.9497243701	0.8666666667	0.4792049754	0.5798710464
1	52	CONDITIONAL_MEAN	2232.7468879544	9	1|2|3|4|5|8|9|10|11	0.9497243701	0.8666666667	0.4792049754	0.5798710464
1	53	REALIZED	2148.1119038584	9	1|2|3|4|5|8|9|10|11	0.7367820117	0.8833333333	0.2964116875	0.7431986234
1	53	CONDITIONAL_MEAN	2138.8439519919	9	1|2|3|4|7|8|9|10|11	0.7367820117	0.8833333333	0.2964116875	0.7431986234
1	54	REALIZED	2151.2709628368	9	1|2|3|4|5|8|9|10|11	0.9478853301	0.9000000000	0.6082128410	0.3899138158
1	54	CONDITIONAL_MEAN	2212.9942155747	9	1|2|3|4|5|8|9|10|11	0.9478853301	0.9000000000	0.6082128410	0.3899138158
1	55	REALIZED	2657.8901409552	9	0|1|2|4|5|7|8|9|10	0.8552363577	0.9166666667	0.5389851192	0.6425266832
1	55	CONDITIONAL_MEAN	2263.5896823912	9	1|2|3|4|5|8|9|10|11	0.8552363577	0.9166666667	0.5389851192	0.6425266832
1	56	REALIZED	2137.7678508678	9	1|2|4|5|6|8|9|10|11	0.1598972991	0.9333333333	0.9087700614	0.6236139232
