replication	query	nominal_total	truth_selected	saa_selected	csaa_selected	truth_count	saa_count	csaa_count	saa_regret_pct	csaa_regret_pct	ess	saa_demand_l1_pct	csaa_demand_l1_pct	saa_share_tv_pct	csaa_share_tv_pct	context_market	context_trend	context_promotion	context_attention
1	17	2381.4023642525	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	9	9	9	0.0000000000	0.0000000000	33.4280978999	20.8822968953	10.6664508071	3.5325766120	2.6939224231	0.6294637064	1.0000000000	0.7563064763	0.8615529108
1	18	1988.1962975637	1|2|3|4|7|8|9|10|11	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	9	9	9	0.4092966474	0.4092966474	31.8032350134	6.8274278114	5.3488838000	3.1286061808	2.6424403956	0.7798013567	1.0000000000	0.1400205618	0.3817923954
1	19	2331.2701026432	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	9	9	9	0.0000000000	0.0000000000	22.2638206599	19.1809284500	9.4163983348	3.4322633543	3.0845104254	0.7980697243	1.0000000000	0.3380010404	0.9405653909
2	0	2221.0576659541	0|1|4|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	2|3|4|6|7|8|9|10|11	9	9	9	3.7014130036	1.3237213997	36.7531429100	16.2665857720	15.4446591497	3.8550460995	3.5298702943	0.4690286516	1.0000000000	0.4069491942	0.8351767390
2	1	2672.1812381784	1|4|5|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	0|2|4|5|6|8|9|10|11	9	9	9	6.0380776665	2.1733294819	28.2482488473	30.4026467552	23.9103946265	2.5082301210	4.2929638867	0.9885368084	1.0000000000	0.8845087040	0.7052343781
2	2	2281.3989059900	0|1|4|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	0|2|4|5|6|8|9|10|11	9	9	9	4.5677361349	3.2283917707	36.1788237757	18.4812699439	14.5047758046	2.2877772151	3.4501390164	0.4966300210	1.0000000000	0.7656443831	0.4703317578
2	3	2679.6688473597	1|4|5|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	0|2|4|5|6|8|9|10|11	9	9	9	5.9960012392	2.1136962850	28.0576667833	30.5971177182	24.5181777809	2.4209634398	4.2995600730	0.9228559049	1.0000000000	0.9149043955	0.7457715850
2	4	2283.9039847678	0|1|4|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	2|3|4|6|7|8|9|10|11	9	9	9	3.9657636624	1.8269262524	33.3426662206	18.5706830024	17.1402920107	3.8165997195	3.7059121070	0.4284520792	1.0000000000	0.4651787459	0.9378784179
2	5	1901.9139040998	0|2|4|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	2|3|4|5|6|8|9|10|11	9	9	9	1.5562604188	2.4239461066	34.0677144074	9.5987760423	10.1556312772	4.8936967047	5.2086254387	0.8933679664	1.0000000000	0.0115439997	0.2325886474
2	6	2769.3452065564	1|4|5|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	0|2|4|5|6|8|9|10|11	9	9	9	6.2671381754	2.0605298532	27.4293741909	32.8445073849	27.9056189222	2.5281273487	4.2797556703	0.8917414828	1.0000000000	0.9161420064	0.9740422327
