replication	distribution	training_size	method	status	certified	objective	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
3	BETA_1_1	0	D	Optimal	true	62153.8946734788	0.006132	9	0|1|2|4|5|6|7|8|9	66437.7291252834	6190.4829137445	76944.0067738533	79748.8176075531	87137.7256654389	0.0015848954	348.9041795430
3	BETA_1_1	10	SAA	Optimal	true	65089.0844061427	0.146725	9	0|1|2|4|5|6|7|8|9	66437.7291252834	6190.4829137445	76944.0067738533	79748.8176075531	87137.7256654389	0.0015848954	348.9041795430
3	BETA_1_1	60	SAA	Optimal	true	65844.4686873419	1.401598	9	0|1|2|4|5|6|7|8|9	66437.7291252834	6190.4829137445	76944.0067738533	79748.8176075531	87137.7256654389	0.0015848954	348.9041795430
3	BETA_0_5_0_5	0	D	Optimal	true	62153.8946734788	0.007032	9	0|1|2|4|5|6|7|8|9	67832.4912731291	7347.5878055337	80028.4180578036	83592.9390702947	92359.9844591892	0.0035083656	340.7591416130
3	BETA_0_5_0_5	10	SAA	Optimal	true	70310.3586446190	0.052271	9	0|2|3|4|5|6|7|8|9	67929.5987963219	6892.5645778816	79715.6530399670	82645.9593316590	89739.3170168482	0.0015494470	372.9458493772
3	BETA_0_5_0_5	60	SAA	Optimal	true	69462.0774670575	1.791434	9	0|2|3|4|5|6|7|8|9	67929.5987963219	6892.5645778816	79715.6530399670	82645.9593316590	89739.3170168482	0.0015494470	372.9458493772
3	BETA_2_5	0	D	Optimal	true	46923.7809555113	0.013381	8	0|2|4|5|6|7|8|9	48033.0493202029	3030.5056907603	53370.9931135378	55069.8243851195	61449.4697950020	0.0007894329	351.1956794585
3	BETA_2_5	10	SAA	Optimal	true	49910.6703302971	0.099782	9	0|1|2|4|5|6|7|8|9	48112.9790935626	2689.4095206764	52965.7382346213	54384.9781762807	59264.2730639048	0.0000006063	2033.5016374818
3	BETA_2_5	60	SAA	Optimal	true	47952.1803968642	2.563406	8	0|2|4|5|6|7|8|9	48033.0493202029	3030.5056907603	53370.9931135378	55069.8243851195	61449.4697950020	0.0007894329	351.1956794585
3	BETA_1_5	0	D	Optimal	true	39415.6754563092	0.011962	7	0|2|4|5|6|8|9	40404.5529494690	2703.8019412807	45355.6614073005	46849.6635753888	52430.5629293277	0.0019028796	175.1706297504
3	BETA_1_5	10	SAA	Optimal	true	40464.1119464433	0.139945	8	0|2|4|5|6|7|8|9	40286.3611255895	2133.0781329910	44085.8250983459	45502.4378039924	51510.2533268614	0.0001891470	1579.6124982177
3	BETA_1_5	60	SAA	Optimal	true	40325.5526522430	2.676199	8	0|2|4|5|6|7|8|9	40286.3611255895	2133.0781329910	44085.8250983459	45502.4378039924	51510.2533268614	0.0001891470	1579.6124982177
4	BETA_5_5	0	D	Optimal	true	70871.4537544187	0.020258	9	0|3|4|6|7|8|9|10|11	71732.8596934710	3790.9199608719	78107.7070476527	79886.0355589626	85879.1965611563	0.0000299172	3.9576305631
4	BETA_5_5	10	SAA	Optimal	true	70227.8683705459	0.123315	9	3|4|5|6|7|8|9|10|11	72181.6643613306	3739.7256639129	78348.3377979322	80083.3312747682	86903.9753512048	0.0000000000	565.3599273464
4	BETA_5_5	60	SAA	Optimal	true	71294.4165244572	3.028656	9	0|3|4|6|7|8|9|10|11	71732.8596934710	3790.9199608719	78107.7070476527	79886.0355589626	85879.1965611563	0.0000299172	3.9576305631
4	BETA_1_1	0	D	Optimal	true	70871.4537544187	0.017584	9	0|3|4|6|7|8|9|10|11	74686.9338288453	7553.5597732089	87750.5338120322	91196.5231146303	100070.3115230607	0.0007755893	76.0463337071
4	BETA_1_1	10	SAA	Optimal	true	77793.4274587756	0.164628	9	0|3|4|5|6|8|9|10|11	75504.6658382663	7505.2980640027	88129.8429359909	91666.4882452521	100397.8292087357	0.0039225532	72.8062091380
4	BETA_1_1	60	SAA	Optimal	true	75542.0860609168	1.768007	9	0|3|4|6|7|8|9|10|11	74686.9338288453	7553.5597732089	87750.5338120322	91196.5231146303	100070.3115230607	0.0007755893	76.0463337071
4	BETA_0_5_0_5	0	D	Optimal	true	70871.4537544187	0.019369	9	0|3|4|6|7|8|9|10|11	76454.6334493058	8679.3057629045	91615.7131751981	95089.5477701978	109149.7807743442	0.0014375457	140.0019820927
4	BETA_0_5_0_5	10	SAA	Optimal	true	77120.2932060185	0.177897	9	0|3|4|6|7|8|9|10|11	76454.6334493058	8679.3057629045	91615.7131751981	95089.5477701978	109149.7807743442	0.0014375457	140.0019820927
4	BETA_0_5_0_5	60	SAA	Optimal	true	75080.6870866074	3.095053	9	0|3|4|6|7|8|9|10|11	76454.6334493058	8679.3057629045	91615.7131751981	95089.5477701978	109149.7807743442	0.0014375457	140.0019820927
4	BETA_2_5	0	D	Optimal	true	52947.0956017153	0.033319	9	0|3|4|5|6|8|9|10|11	54608.8765803083	2745.2238150197	59570.6175704692	61049.0410207139	67550.9228354121	0.0001712186	2088.7512321820
4	BETA_2_5	10	SAA	Optimal	true	55496.7607797756	0.258433	9	0|3|4|5|6|8|9|10|11	54608.8765803083	2745.2238150197	59570.6175704692	61049.0410207139	67550.9228354121	0.0001712186	2088.7512321820
4	BETA_2_5	60	SAA	Optimal	true	54426.0788583850	4.852456	9	0|3|4|5|6|8|9|10|11	54608.8765803083	2745.2238150197	59570.6175704692	61049.0410207139	67550.9228354121	0.0001712186	2088.7512321820
4	BETA_1_5	0	D	Optimal	true	45500.0622473888	0.025407	7	3|4|6|8|9|10|11	46529.6221588856	2593.8328262516	51185.0604630356	52621.6528833121	59250.2472230618	0.0001320302	1292.2960786955
4	BETA_1_5	10	SAA	Optimal	true	45814.6429131855	0.466982	8	0|2|3|4|8|9|10|11	46710.4387764522	2872.0552913719	51980.1284095577	53583.8399991945	60458.0225002181	0.0002265032	809.1686650982
4	BETA_1_5	60	SAA	Optimal	true	46298.8805001289	8.390664	7	3|4|6|8|9|10|11	46529.6221588856	2593.8328262516	51185.0604630356	52621.6528833121	59250.2472230618	0.0001320302	1292.2960786955
5	BETA_5_5	0	D	Optimal	true	76442.0620952357	0.025607	9	2|3|4|6|7|8|9|10|11	77158.3947289102	3990.3851951240	83990.2023428690	85977.1407994951	94197.5149113361	0.0001682644	20.1435616064
5	BETA_5_5	10	SAA	Optimal	true	78020.0109874730	0.168211	9	2|3|4|6|7|8|9|10|11	77158.3947289102	3990.3851951240	83990.2023428690	85977.1407994951	94197.5149113361	0.0001682644	20.1435616064
5	BETA_5_5	60	SAA	Optimal	true	76980.5546933151	4.371561	9	2|3|4|6|7|8|9|10|11	77158.3947289102	3990.3851951240	83990.2023428690	85977.1407994951	94197.5149113361	0.0001682644	20.1435616064
5	BETA_1_1	0	D	Optimal	true	76442.0620952357	0.022765	9	2|3|4|6|7|8|9|10|11	80033.0202262061	7746.4621408160	93247.0486766376	96286.5719105748	106252.5193198441	0.0017773368	25.6010723519
5	BETA_1_1	10	SAA	Optimal	true	83376.7055595423	0.151153	9	1|2|3|4|6|8|9|10|11	80162.5647910512	7993.5837546628	93837.0849957775	96653.9618221678	103863.6520597964	0.0000438773	7.9178495842
5	BETA_1_1	60	SAA	Optimal	true	80864.7706590458	4.410835	9	1|2|3|4|6|8|9|10|11	80162.5647910512	7993.5837546628	93837.0849957775	96653.9618221678	103863.6520597964	0.0000438773	7.9178495842
5	BETA_0_5_0_5	0	D	Optimal	true	76442.0620952357	0.020908	9	2|3|4|6|7|8|9|10|11	82622.4477043792	9335.5966357518	98058.8366426374	101925.2322266946	116680.1348160401	0.0034303669	28.2962403781
5	BETA_0_5_0_5	10	SAA	Optimal	true	80602.8815512246	0.097770	9	2|3|4|6|7|8|9|10|11	82622.4477043792	9335.5966357518	98058.8366426374	101925.2322266946	116680.1348160401	0.0034303669	28.2962403781
5	BETA_0_5_0_5	60	SAA	Optimal	true	80404.6524724519	3.256797	9	2|3|4|6|7|8|9|10|11	82622.4477043792	9335.5966357518	98058.8366426374	101925.2322266946	116680.1348160401	0.0034303669	28.2962403781
5	BETA_2_5	0	D	Optimal	true	55384.4985417973	0.010651	9	1|2|3|4|6|8|9|10|11	56550.9390074707	3645.1696032972	62715.8935996073	64758.5474228079	73391.3311722396	0.0000000000	172.1628779758
5	BETA_2_5	10	SAA	Optimal	true	56520.7331234157	0.096711	9	1|2|3|4|6|8|9|10|11	56550.9390074707	3645.1696032972	62715.8935996073	64758.5474228079	73391.3311722396	0.0000000000	172.1628779758
5	BETA_2_5	60	SAA	Optimal	true	56166.6550329028	2.033288	9	1|2|3|4|6|8|9|10|11	56550.9390074707	3645.1696032972	62715.8935996073	64758.5474228079	73391.3311722396	0.0000000000	172.1628779758
5	BETA_1_5	0	D	Optimal	true	46299.3850075800	0.020402	8	1|2|4|6|8|9|10|11	47320.4327449925	3243.0462555310	53218.0946338047	54894.8491605372	60875.7207488731	0.0000362373	105.3562211193
5	BETA_1_5	10	SAA	Optimal	true	47839.4283727341	0.254797	9	1|2|3|4|6|8|9|10|11	47299.9356999607	2650.1775815614	52289.0905511983	53697.5071241124	59800.6385679342	0.0000000000	1232.5929043289
5	BETA_1_5	60	SAA	Optimal	true	47427.9156655272	5.732682	9	1|2|3|4|6|8|9|10|11	47299.9356999607	2650.1775815614	52289.0905511983	53697.5071241124	59800.6385679342	0.0000000000	1232.5929043289
