"MQC","Spot","n","CSAA_SAA","Mean","SD","Q95","CVaR","Max","MeanWins","All5","Changed","SelC","SelR","dMQC","dSpotPctPt"
"1.6","1.5","8","14.307531708855004","-1.0900342009410033","0.2714999696778221","-0.9031718875028298","-0.7803937495764595","-0.700434224868541","0","0","2","7.375","7.625","356.10935956490005","-0.05034392624999993"
"1.6","1.75","9","10.945278761150158","-1.8721265678033285","2.379792042748992","-1.3712111860708132","-0.9779349867446698","-0.14287443771961486","0","0","2","8","8.11111111111111","363.36111354227774","-0.05626020888888889"
"1.75","1.5","9","13.783996489204918","0","0","0","0","0","0","0","0","7.444444444444445","7.444444444444445","0","0"
"1.75","1.75","9","12.831387024261025","-2.083436182778186","0.8912055265557499","-1.3599620094047518","-1.3144260477776697","-1.1364216111195387","0","0","4","7.555555555555555","8","784.0153063270333","-0.29230792555555574"
