"lambda","D","q","CSAA_SAA","Mean","SD","Q95","CVaR","Max","Same","SelC","SelR","dMQC","dSpot"
"0.05","1","0","10.071430345286231","0","0","0","0","0","True","9","9","0","0"
"0.05","1","1","46.98923533670946","0","0","0","0","0","True","6","6","0","0"
"0.05","1","2","1.593629654115475","-1.4842148781506381","8.382248320525605","3.647952005940606","3.2088555516962867","2.7952317259065835","False","11","11","1373.8741827049998","-1.125657420000001"
"0.05","2","0","19.662696773244715","-0.7804040575669939","1.1020454962181814","0.23869149233997902","0.2494075995280745","-0.4836531233507874","False","7","7","975.1462557016994","0.08095488999999984"
"0.05","2","1","52.645120442407354","-16.82530627806131","16.841168304297586","-14.054933069481395","-6.6825152323586545","14.011089569123994","False","5","6","2856.0917518997994","-0.24861153000000002"
"0.05","2","2","0.6084338908972137","0","0","0","0","0","True","11","11","0","0"
"0.05","3","0","16.858229377179406","-1.865548265888677","11.770771784314048","4.02678386771573","3.5982853613839048","6.698424787114017","False","7","8","2224.9386150147","-1.8181861200000002"
"0.05","3","1","39.372652463134784","0","0","0","0","0","True","6","6","0","0"
"0.05","3","2","0","0","0","0","0","0","True","11","11","0","0"
"0.1","1","0","10.071430345286231","0","0","0","0","0","True","9","9","0","0"
"0.1","1","1","46.98923533670946","0","0","0","0","0","True","6","6","0","0"
"0.1","1","2","1.593629654115475","-1.4842148781506381","8.382248320525605","3.647952005940606","3.2088555516962867","2.7952317259065835","False","11","11","1373.8741827049998","-1.125657420000001"
"0.1","2","0","19.662696773244715","-0.7804040575669939","1.1020454962181814","0.23869149233997902","0.2494075995280745","-0.4836531233507874","False","7","7","975.1462557016994","0.08095488999999984"
"0.1","2","1","52.645120442407354","-16.82530627806131","16.841168304297586","-14.054933069481395","-6.6825152323586545","14.011089569123994","False","5","6","2856.0917518997994","-0.24861153000000002"
"0.1","2","2","0.6084338908972137","0","0","0","0","0","True","11","11","0","0"
"0.1","3","0","16.858229377179406","-3.8779225150346934","10.083333206988547","1.9898428582941152","1.999973182110342","4.454155954775573","False","7","8","2053.7869987981003","-1.4225667900000003"
"0.1","3","1","39.372652463134784","-6.892541882122648","5.156221192681265","-6.310138396962849","-4.086066899490294","-4.554972590056904","False","6","7","1372.1439741151007","-0.14683395999999999"
"0.1","3","2","0","0.607764032283389","6.240417347261993","4.03252929072178","2.73715831323467","2.694676152041723","False","11","11","556.8756849504998","-2.26865101"
