"lambda","n","CSAA_SAA","Mean","SD","Q95","CVaR","Max","MeanWins","All5","Changed","SelC","SelR","dMQC","dSpotPctPt"
"0.05","9","20.866825364774957","-2.3283859421852906","4.232914878372824","-0.6823895226094532","0.04155925336106793","2.5578992176437563","0","0","4","8.11111111111111","8.333333333333334","825.5612005912443","-0.34572224222222236"
"0.1","9","20.866825364774957","-3.2502917309614325","5.311714874219242","-1.1617839799053071","-0.2859097205866194","2.101836409826687","1","1","6","8.11111111111111","8.444444444444445","1020.8798720189111","-0.5701517577777779"
