replication	volatility	oos_total_mean	oos_total_cv	mean_lane_cv	min_lane_cv	max_lane_cv
1	LOW	1608.1790559157	0.1019209823	0.2098513080	0.1221183170	0.2942483912
1	MEDIUM	1592.4450740551	0.2460004577	0.5141224911	0.4157850900	0.5910626388
1	HIGH	1580.1163033640	0.3777164889	0.8218395213	0.6860967797	0.9777001974
2	LOW	2227.0395306591	0.1025184857	0.2101182969	0.1150947365	0.2973463328
2	MEDIUM	2220.9651915830	0.2251816260	0.5049206701	0.3933106379	0.5915182101
2	HIGH	2212.3773277284	0.3357347714	0.7933484383	0.6456934556	0.9829107050
3	LOW	1925.5366017396	0.0841610886	0.2008849952	0.1135839938	0.3161979526
3	MEDIUM	1905.4122705430	0.2094459507	0.5001680836	0.4059070624	0.6794187314
3	HIGH	1888.8941503849	0.3271765438	0.7973444538	0.6756064600	1.0603893215
