"tag","exit","seconds"
"S30_L0p01_D3","0","64.3"
"S30_L0p01_D1","0","68.7"
"S30_L0p01_D2","0","82.8"
"S30_L0p05_D1","0","60.6"
"S30_L0p05_D3","0","58.5"
"S30_L0p05_D2","0","82.9"
"S30_L0p1_D1","0","80.7"
"S30_L0p1_D3","0","76.5"
"S30_L0p1_D2","0","100.9"
"S45_L0p01_D1","0","80.6"
"S45_L0p01_D3","0","84.5"
"S45_L0p01_D2","0","125"
"S45_L0p05_D1","0","86.7"
"S45_L0p05_D3","0","84.5"
"S45_L0p05_D2","0","129"
"S45_L0p1_D1","0","82.7"
"S45_L0p1_D3","0","82.5"
"S45_L0p1_D2","0","112.9"
"S60_L0p01_D1","0","132.9"
"S60_L0p01_D2","0","189.2"
"S60_L0p05_D1","0","138.9"
"S60_L0p01_D3","0","191.4"
"S60_L0p1_D1","0","154.8"
"S60_L0p05_D3","0","187.2"
"S60_L0p05_D2","0","195.6"
"S60_L0p1_D2","0","181.1"
"S60_L0p1_D3","0","181"
