"design","query","D","SAA","CSAA","Oracle","SAA_D","CSAA_SAA","Oracle_CSAA","Oracle_SAA","selC","selO"
"1","0","42570.0496047091","45691.0937725159","41475.9030443187","39747.860052525","-7.331549285912864","9.225409987301994","4.16637822194544","13.007422736651305","8","8"
"1","1","21540.0445246746","29862.8267667957","15820.1290677453","11369.1562957554","-38.63864920328819","47.02400683201361","28.13487015769497","61.928733724575935","6","3"
"1","2","70804.869070205","64555.8558921759","63462.585318157","62786.0021447564","8.825682838044683","1.693526573088791","1.0661134745908698","2.741585132688184","11","11"
"2","0","39822.5799058196","46225.0246663976","37998.8172111903","36636.9333882918","-16.07742335057091","17.796004468521545","3.5840163532706875","20.742209111411636","6","6"
"2","1","26901.1504904603","35168.8321079465","16657.0541965853","13871.4709641798","-30.733561452764235","52.636885565439094","16.723144437967587","60.55748760265059","5","3"
"2","2","108807.3845192775","95366.8229730362","94626.9054876063","94626.9054876063","12.352618901394528","0.7758646690360105","0","0.7758646690360105","11","11"
"3","0","39155.4928078826","43875.6085731084","36527.7434690879","35724.5650259121","-12.054798514183362","16.747038600677204","2.1988175750727645","18.57761934769406","7","6"
"3","1","26622.3277118004","31965.8092184568","19366.8676829348","13515.6132743989","-20.071428631268375","39.413804447808175","30.212704007327723","57.71853237929264","6","3"
"3","2","104943.0757952934","96929.3009584463","96929.3009584463","96285.4888808835","7.636306422425732","0","0.6642079032828349","0.6642079032828349","11","11"
