replication	mqc_scale	sample	demand_type	total_demand	selected_count	selected	objective	transport_cost	spot_cost	mqc_penalty	spot_quantity	mqc_shortfall	status	certified	gap
1	1.50	13	CONDITIONAL_MEAN	1712.3421353822	7	1|2|3|4|5|8|9	93662.8996144878	90461.5572141508	3201.3424003369	0.0000000000	43.0461785286	0.0000000000	Optimal	true	0.000000000
1	1.50	14	REALIZED	1832.1078845486	8	2|3|4|5|6|8|9|11	121129.9979830828	108442.7868931042	12687.2110899786	0.0000000000	96.2821866590	0.0000000000	Optimal	true	0.000000000
1	1.50	14	CONDITIONAL_MEAN	2261.9065569278	9	1|2|3|4|5|7|8|9|10	127509.9674068692	126466.2055078211	1043.7618990482	0.0000000000	11.6682712982	0.0000000000	Optimal	true	0.000000000
1	1.50	15	REALIZED	2681.9749266000	9	1|2|3|4|5|7|8|9|11	192620.7705996349	143434.9987709964	49185.7718286386	0.0000000000	327.5473009205	0.0000000000	Optimal	true	0.000000000
1	1.50	15	CONDITIONAL_MEAN	2107.0767832190	8	1|2|3|4|5|8|9|10	118919.7387088779	115959.3092967556	2960.4294121223	0.0000000000	19.8151583524	0.0000000000	Optimal	true	0.000000000
1	1.50	16	REALIZED	2418.8968734589	9	1|2|3|4|5|7|8|9|10	139024.7741770256	132244.8548280576	6779.9193489681	0.0000000000	69.1756527750	0.0000000000	Optimal	true	0.000000000
1	1.50	16	CONDITIONAL_MEAN	2007.5584959798	8	1|2|3|4|5|8|9|10	111433.8778131938	109754.3964196664	1679.4813935275	0.0000000000	12.2632068213	0.0000000000	Optimal	true	0.000000000
1	1.50	17	REALIZED	1520.3091891578	7	1|2|3|4|5|8|10	82362.9337205929	76994.0804726087	5368.8532479843	0.0000000000	60.8907633819	0.0000000000	Optimal	true	0.000000000
1	1.50	17	CONDITIONAL_MEAN	1770.4797921796	7	2|3|4|5|8|9|10	98203.1828765755	97609.4681768762	593.7146996993	0.0000000000	4.9437376828	0.0000000000	Optimal	true	0.000000000
1	1.50	18	REALIZED	1095.6195685336	5	2|3|4|5|9	57729.2262585911	51217.9233036072	5119.9886929072	1391.3142620767	80.0053921949	69.6251211162	Optimal	true	0.000000000
1	1.50	18	CONDITIONAL_MEAN	1599.8681065620	6	2|3|4|5|8|9	87291.0217849321	83338.1388636827	3952.8829212494	0.0000000000	52.6925286358	0.0000000000	Optimal	true	0.000000000
1	1.50	19	REALIZED	1583.4463620207	7	2|3|4|5|7|8|9	90413.5572845543	87701.4200989125	2318.2628786117	393.8743070302	17.7686518579	17.9428187545	Optimal	true	0.000000000
1	1.50	19	CONDITIONAL_MEAN	1630.5847985441	6	2|3|4|5|8|9	88492.0937217955	85262.8876814560	3229.2060403395	0.0000000000	36.7241293155	0.0000000000	Optimal	true	0.000000000
1	1.50	20	REALIZED	1643.9659284496	7	2|3|4|5|8|9|10	91833.1082529850	90715.3838166620	1117.7244363231	0.0000000000	7.4726728677	0.0000000000	Optimal	true	0.000000000
1	1.50	20	CONDITIONAL_MEAN	1325.0824544591	6	2|3|4|5|8|9	70491.4746430993	69906.4472876059	585.0273554934	0.0000000000	3.9112664125	0.0000000000	Optimal	true	0.000000000
1	1.50	21	REALIZED	1487.9131928489	7	2|3|4|5|6|8|9	89400.1817102311	82816.4933834039	5930.4380351717	653.2502916555	46.7715815012	24.0885213914	Optimal	true	0.000000000
1	1.50	21	CONDITIONAL_MEAN	1650.0359551520	7	2|3|4|5|8|9|10	90591.3370166979	90127.4835058666	463.8535108313	0.0000000000	4.5137412555	0.0000000000	Optimal	true	0.000000000
1	1.50	22	REALIZED	989.8640550717	5	2|4|5|8|9	57454.3340988385	50491.0461678282	6291.4774182317	671.8105127786	87.9981567784	26.2771260700	Optimal	true	0.000000000
1	1.50	22	CONDITIONAL_MEAN	1494.9897532972	6	2|3|4|5|8|9	80528.4969191111	78083.3110229426	2445.1858961686	0.0000000000	32.0913695645	0.0000000000	Optimal	true	0.000000000
1	1.50	23	REALIZED	1419.4034194106	6	2|4|5|7|8|9	85790.6948437595	80902.9062194719	4887.7886242877	0.0000000000	32.4212846444	0.0000000000	Optimal	true	0.000000000
1	1.50	23	CONDITIONAL_MEAN	1927.7650375500	8	1|2|3|4|5|8|9|10	106851.6348058924	106175.2355910063	676.3992148860	0.0000000000	3.7405968343	0.0000000000	Optimal	true	0.000000000
1	1.50	24	REALIZED	1824.1701666380	8	2|3|4|5|6|7|8|9	113871.9355242417	105479.8627738847	8285.2366000636	106.8361502934	55.6130613192	4.8668868391	Optimal	true	0.000000000
1	1.50	24	CONDITIONAL_MEAN	1379.1446329805	6	2|3|4|5|8|9	74053.9648465145	72967.1264191937	1086.8384273209	0.0000000000	11.4813314218	0.0000000000	Optimal	true	0.000000000
1	1.50	25	REALIZED	1066.0279374644	5	2|4|5|7|9	60742.7901651377	57050.9982721587	3169.8894720623	521.9024209167	43.8700028408	23.7750987534	Optimal	true	0.000000000
1	1.50	25	CONDITIONAL_MEAN	1662.2378270932	7	2|3|4|5|8|9|10	91571.3039587099	91356.9038712915	214.4000874184	0.0000000000	1.4333959821	0.0000000000	Optimal	true	0.000000000
1	1.50	26	REALIZED	2075.1964516509	9	0|1|2|3|4|5|8|9|10	120114.6805002796	109410.5114224028	10704.1690778768	0.0000000000	117.9029784682	0.0000000000	Optimal	true	0.000000000
1	1.50	26	CONDITIONAL_MEAN	1876.3073385211	8	1|2|3|4|5|8|9|10	103447.5827921275	103309.4123778803	138.1704142472	0.0000000000	0.7641046925	0.0000000000	Optimal	true	0.000000000
1	1.50	27	REALIZED	2236.3083497296	9	0|2|3|4|5|7|8|9|11	137857.9126115698	121816.0721153948	16041.8404961751	0.0000000000	181.8891442963	0.0000000000	Optimal	true	0.000000000
1	1.50	27	CONDITIONAL_MEAN	2527.2937573474	9	1|2|3|4|5|8|9|10|11	147136.0413138538	144014.8433571272	3121.1979567264	0.0000000000	45.7956387214	0.0000000000	Optimal	true	0.000000000
1	1.50	28	REALIZED	2786.9602365250	9	2|3|4|5|7|8|9|10|11	183672.9801957276	139291.1770673023	44381.8031284253	0.0000000000	414.7236737302	0.0000000000	Optimal	true	0.000000000
1	1.50	28	CONDITIONAL_MEAN	2046.0751316619	9	1|2|3|4|5|7|8|9|10	115974.2541203165	115974.2541203165	0.0000000000	0.0000000000	0.0000000000	0.0000000000	Optimal	true	0.000000000
1	1.50	29	REALIZED	1337.2495197967	6	2|3|4|5|9|10	70409.2307032177	64235.4660601603	6173.7646430574	0.0000000000	89.1566774714	0.0000000000	Optimal	true	0.000000000
1	1.50	29	CONDITIONAL_MEAN	1964.8819054933	8	1|2|3|4|5|8|9|10	107887.5023248129	107797.1921287393	90.3101960736	0.0000000000	1.3322811032	0.0000000000	Optimal	true	0.000000000
1	1.50	30	REALIZED	2169.2100393711	9	1|2|3|4|5|6|8|9|10	119398.4597567670	111270.4508890930	8128.0088676739	0.0000000000	70.0211966793	0.0000000000	Optimal	true	0.000000000
1	1.50	30	CONDITIONAL_MEAN	2378.0444191841	9	1|2|3|4|5|7|8|9|10	136883.2261968772	131515.8494224427	5367.3767744345	0.0000000000	49.1977901575	0.0000000000	Optimal	true	0.000000000
1	1.50	31	REALIZED	1736.3269008995	7	1|2|3|4|5|8|9	93978.1697141294	89114.8216225279	4863.3480916016	0.0000000000	61.8780900283	0.0000000000	Optimal	true	0.000000000
1	1.50	31	CONDITIONAL_MEAN	1871.5800839193	8	1|2|3|4|5|8|9|10	103126.3719440704	102256.9562896273	869.4156544431	0.0000000000	4.8080088994	0.0000000000	Optimal	true	0.000000000
1	1.50	32	REALIZED	1359.9925251895	6	2|3|4|5|8|9	75205.4416168656	70513.0580176448	4692.3835992209	0.0000000000	44.6621430854	0.0000000000	Optimal	true	0.000000000
1	1.50	32	CONDITIONAL_MEAN	2092.2012547781	8	1|2|3|4|5|8|9|10	117912.0635718101	115278.5586695092	2633.5049023009	0.0000000000	19.7990369181	0.0000000000	Optimal	true	0.000000000
1	1.50	33	REALIZED	1792.6637626402	8	2|3|4|5|7|8|9|11	108051.3235480702	105226.8896643845	1686.6964737707	1137.7374099150	12.4051905090	51.8292657632	Optimal	true	0.000000000
1	1.50	33	CONDITIONAL_MEAN	1475.2200780778	6	2|3|4|5|8|9	78737.5054997349	77085.0523915484	1652.4531081865	0.0000000000	19.0097585495	0.0000000000	Optimal	true	0.000000000
1	1.50	34	REALIZED	1653.6973816804	8	1|2|3|4|5|6|8|9	103751.0898695852	91831.4791821413	10115.2131431173	1804.3975443266	69.4991598871	66.1686086198	Optimal	true	0.000000000
1	1.50	34	CONDITIONAL_MEAN	2099.3026518231	9	1|2|3|4|5|7|8|9|10	119016.6142643620	118448.3171336809	568.2971306812	0.0000000000	8.2349726125	0.0000000000	Optimal	true	0.000000000
1	1.50	35	REALIZED	1956.5766298067	9	1|2|3|4|5|6|8|9|10	109687.2442997490	105571.4596282040	4115.7846715450	0.0000000000	43.3930048053	0.0000000000	Optimal	true	0.000000000
1	1.50	35	CONDITIONAL_MEAN	2294.9100693130	9	1|2|3|4|5|7|8|9|10	130403.1687229536	128913.4224020346	1489.7463209189	0.0000000000	16.8600018906	0.0000000000	Optimal	true	0.000000000
1	1.50	36	REALIZED	1417.0504258808	7	2|3|4|5|8|9|10	77353.7256995675	74396.0304605102	1898.5612529410	1059.1339861163	18.1335343124	43.4801018170	Optimal	true	0.000000000
1	1.50	36	CONDITIONAL_MEAN	1615.0019120544	6	2|3|4|5|8|9	87747.2490013240	84429.1775009263	3318.0715003977	0.0000000000	40.3036660760	0.0000000000	Optimal	true	0.000000000
1	1.50	37	REALIZED	2065.2495836559	8	1|2|3|4|5|6|8|9	115027.1562148014	109726.2787871802	5300.8774276212	0.0000000000	64.9067574701	0.0000000000	Optimal	true	0.000000000
1	1.50	37	CONDITIONAL_MEAN	1948.2740366423	8	1|2|3|4|5|8|9|10	107326.0448332211	107326.0448332211	0.0000000000	0.0000000000	0.0000000000	0.0000000000	Optimal	true	0.000000000
1	1.50	38	REALIZED	1515.5244407139	7	2|3|4|5|8|9|10	81992.1256191144	78129.4920924734	3862.6335266411	0.0000000000	65.9531689702	0.0000000000	Optimal	true	0.000000000
1	1.50	38	CONDITIONAL_MEAN	1934.4690513959	8	1|2|3|4|5|8|9|10	107055.8111311660	106751.1326506949	304.6784804711	0.0000000000	1.6849211744	0.0000000000	Optimal	true	0.000000000
1	1.50	39	REALIZED	1960.3983006294	8	1|2|3|4|5|8|9|10	110250.7078910767	97170.1529931880	13080.5548978888	0.0000000000	178.7046852043	0.0000000000	Optimal	true	0.000000000
1	1.50	39	CONDITIONAL_MEAN	2158.4641577469	9	1|2|3|4|5|7|8|9|10	121223.4011894754	120642.8342192601	580.5669702152	0.0000000000	7.2876136520	0.0000000000	Optimal	true	0.000000000
1	1.50	40	REALIZED	3358.8400326192	9	1|2|3|4|5|7|8|9|11	214020.7304781432	178615.7343652808	35404.9961128622	0.0000000000	351.8638996662	0.0000000000	Optimal	true	0.000000000
1	1.50	40	CONDITIONAL_MEAN	2058.0717004808	8	1|2|3|4|5|8|9|10	115351.0927567275	113573.2427029963	1777.8500537312	0.0000000000	10.8975508783	0.0000000000	Optimal	true	0.000000000
1	1.50	41	REALIZED	2314.5287887408	9	1|2|3|4|5|7|8|9|11	135356.0767953629	127148.7926168115	8207.2841785515	0.0000000000	91.8988506591	0.0000000000	Optimal	true	0.000000000
1	1.50	41	CONDITIONAL_MEAN	2008.8184423164	8	1|2|3|4|5|8|9|10	111719.1301914325	111226.2653044727	492.8648869598	0.0000000000	5.5653323034	0.0000000000	Optimal	true	0.000000000
1	1.50	42	REALIZED	2179.3122628090	9	0|1|2|4|5|7|8|9|11	141252.8680363498	130820.4105899235	10432.4574464262	0.0000000000	85.0618152546	0.0000000000	Optimal	true	0.000000000
