replication	market_structure	sample	demand_type	total_demand	free_count	fixed_count	total_cost	transport_cost	spot_cost	mqc_penalty	spot_quantity	mqc_shortfall	selected_capacity	selected_mqc	covered_lanes	capacity_short_lanes	lane_capacity_shortfall	selected
1	PERSISTENT_CARRIER_FACTOR	0	REALIZED	2294.5609342973	9	3	210667.8368040461	90245.8348490123	120422.0019550338	0.0000000000	898.8201140757	0.0000000000	1466.1097479470	567.0205166082	15	16	898.8201140757	3|7|8
1	PERSISTENT_CARRIER_FACTOR	0	REALIZED	2294.5609342973	9	4	192615.9612646677	105147.0297635342	87468.9315011335	0.0000000000	646.5122220638	0.0000000000	1771.1505875206	737.5118895035	19	13	646.5122220638	3|4|7|8
1	PERSISTENT_CARRIER_FACTOR	0	REALIZED	2294.5609342973	9	5	177815.7491453063	116830.9319150442	60984.8172302621	0.0000000000	441.8853459744	0.0000000000	2076.9771008404	825.9450993088	20	9	441.8853459744	3|4|5|7|8
1	PERSISTENT_CARRIER_FACTOR	0	REALIZED	2294.5609342973	9	6	168326.7915095429	127675.0767333798	40651.7147761631	0.0000000000	287.8164068469	0.0000000000	2404.9957847977	950.9213896337	20	6	287.8164068469	3|4|5|7|8|9
1	PERSISTENT_CARRIER_FACTOR	0	REALIZED	2294.5609342973	9	7	160065.7750130512	139130.4837471898	20935.2912658613	0.0000000000	159.7162874077	0.0000000000	2864.1649674175	1116.5662622851	20	6	159.7162874077	3|4|5|7|8|9|11
1	PERSISTENT_CARRIER_FACTOR	0	REALIZED	2294.5609342973	9	8	155658.6829415526	137936.2056557025	17722.4772858501	0.0000000000	131.8422541720	0.0000000000	3182.7773637568	1221.3918919296	20	6	131.8422541720	2|3|4|5|7|8|9|11
1	PERSISTENT_CARRIER_FACTOR	0	REALIZED	2294.5609342973	9	9	153288.8740331178	141429.8107176445	11859.0633154734	0.0000000000	77.5965751817	0.0000000000	3460.8535244942	1329.1060255518	20	6	77.5965751817	2|3|4|5|7|8|9|10|11
1	PERSISTENT_CARRIER_FACTOR_WIDE	0	REALIZED	2294.5609342973	9	2	234029.1799003310	53975.3806876597	180053.7992126714	0.0000000000	1392.5661964664	0.0000000000	906.4307099933	361.5579436623	15	19	1392.5661964664	3|8
1	PERSISTENT_CARRIER_FACTOR_WIDE	0	REALIZED	2294.5609342973	9	3	209475.6642387996	89053.6622837657	120422.0019550338	0.0000000000	898.8201140757	0.0000000000	1466.1097479470	567.0205166082	15	16	898.8201140757	3|7|8
1	PERSISTENT_CARRIER_FACTOR_WIDE	0	REALIZED	2294.5609342973	9	4	190103.9052159846	102634.9737148513	87468.9315011335	0.0000000000	646.5122220638	0.0000000000	1771.1505875206	737.5118895035	19	13	646.5122220638	3|4|7|8
1	PERSISTENT_CARRIER_FACTOR_WIDE	0	REALIZED	2294.5609342973	9	5	173924.9489345153	112940.1317042532	60984.8172302621	0.0000000000	441.8853459744	0.0000000000	2076.9771008404	825.9450993088	20	9	441.8853459744	3|4|5|7|8
1	PERSISTENT_CARRIER_FACTOR_WIDE	0	REALIZED	2294.5609342973	9	6	165055.6803543875	124403.9655782244	40651.7147761631	0.0000000000	287.8164068469	0.0000000000	2404.9957847977	950.9213896337	20	6	287.8164068469	3|4|5|7|8|9
1	PERSISTENT_CARRIER_FACTOR_WIDE	0	REALIZED	2294.5609342973	9	7	157381.7707559935	136446.4794901321	20935.2912658613	0.0000000000	159.7162874077	0.0000000000	2864.1649674175	1116.5662622851	20	6	159.7162874077	3|4|5|7|8|9|11
1	PERSISTENT_CARRIER_FACTOR_WIDE	0	REALIZED	2294.5609342973	9	8	151787.3667855201	134064.8894996700	17722.4772858501	0.0000000000	131.8422541720	0.0000000000	3182.7773637568	1221.3918919296	20	6	131.8422541720	2|3|4|5|7|8|9|11
1	PERSISTENT_CARRIER_FACTOR_WIDE	0	REALIZED	2294.5609342973	9	9	149765.3061102164	137906.2427947430	11859.0633154734	0.0000000000	77.5965751817	0.0000000000	3460.8535244942	1329.1060255518	20	6	77.5965751817	2|3|4|5|7|8|9|10|11
1	PERSISTENT_WIDE_MQC_1.25	0	REALIZED	2294.5609342973	9	2	234029.1799003310	53975.3806876597	180053.7992126714	0.0000000000	1392.5661964664	0.0000000000	906.4307099933	451.9474295779	15	19	1392.5661964664	3|8
1	PERSISTENT_WIDE_MQC_1.25	0	REALIZED	2294.5609342973	9	3	209475.6642387996	89053.6622837657	120422.0019550338	0.0000000000	898.8201140757	0.0000000000	1466.1097479470	708.7756457602	15	16	898.8201140757	3|7|8
1	PERSISTENT_WIDE_MQC_1.25	0	REALIZED	2294.5609342973	9	4	190103.9052159846	102634.9737148513	87468.9315011335	0.0000000000	646.5122220638	0.0000000000	1771.1505875206	921.8898618794	19	13	646.5122220638	3|4|7|8
1	PERSISTENT_WIDE_MQC_1.25	0	REALIZED	2294.5609342973	9	5	173924.9489345153	112940.1317042532	60984.8172302621	0.0000000000	441.8853459744	0.0000000000	2076.9771008404	1032.4313741359	20	9	441.8853459744	3|4|5|7|8
1	PERSISTENT_WIDE_MQC_1.25	0	REALIZED	2294.5609342973	9	6	165058.0633212451	124406.3485450820	40651.7147761631	0.0000000000	287.8164068469	0.0000000000	2404.9957847977	1188.6517370421	20	6	287.8164068469	3|4|5|7|8|9
1	PERSISTENT_WIDE_MQC_1.25	0	REALIZED	2294.5609342973	9	7	157642.7772765574	136707.4860106961	20935.2912658613	0.0000000000	159.7162874077	0.0000000000	2864.1649674175	1395.7078278563	20	6	159.7162874077	3|4|5|7|8|9|11
1	PERSISTENT_WIDE_MQC_1.25	0	REALIZED	2294.5609342973	9	8	152563.7640892284	134841.2868033783	17722.4772858501	0.0000000000	131.8422541720	0.0000000000	3182.7773637568	1526.7398649120	20	6	131.8422541720	2|3|4|5|7|8|9|11
