"run","query","nominal","selS","selC","selR","selO","CSAA_vs_SAA","Oracle_vs_CSAA","Robust_Mean","Robust_SD","Robust_Q95","Robust_CVaR","Robust_Max","dPenalty"
"design1_lambda0p05","0","824.8982713558","10","10","10","8","3.553399785973476","2.16639538348207","0","0","0","0","0","0"
"design1_lambda0p05","1","631.2066319278","10","9","9","6","5.619830890090989","6.4716319972181005","0","0","0","0","0","0"
"design1_lambda0p05","2","1087.8332895261","10","10","11","11","0","-0.3322318023460157","-0.3322318023460157","6.410343462540556","4.0074819246443205","4.042521278483693","3.1898725117489968","1037.3223607257999"
"design2_lambda0p05","0","799.7446981465","10","9","9","7","2.643319564666741","4.298186382669006","0","0","0","0","0","0"
"design2_lambda0p05","1","644.4937555283","10","9","NA","6","3.448194063239915","8.767389204013218","NaN","NaN","NaN","NaN","NaN","NaN"
"design2_lambda0p05","2","1130.9112934879","10","10","10","10","0.19570502870338244","0","0","0","0","0","0","0"
"design3_lambda0p05","0","763.2685338323","10","9","9","8","2.7913978474310577","0.7693928437408607","0","0","0","0","0","0"
"design3_lambda0p05","1","598.9604495079","10","9","10","6","3.3508399876417077","6.517870783400773","-3.4670140818743214","9.207196036494475","2.2439064044804082","3.173768544829655","0.03088543380317402","1753.1867157247007"
"design3_lambda0p05","2","1202.2317001666","10","11","11","11","2.677429070785609","0","0","0","0","0","0","0"
