"lambda","D","q","CSAA_SAA","Mean","SD","Q95","CVaR","Max","Same","SelC","SelR","dMQC","dSpot"
"0.05","1","0","6.320892311373145","-2.0964671291818275","1.4470350736591886","-2.1726434840328803","-0.5018462353701316","-0.3072367352037895","False","7","8","2055.6586253349997","-1.5309322900000004"
"0.05","1","1","35.555271699067106","0","0","0","0","0","True","6","6","0","0"
"0.05","1","2","-0.7679404279247458","0","0","0","0","0","True","9","9","0","0"
"0.05","2","0","10.198843306700917","0","0","0","0","0","True","7","7","0","0"
"0.05","2","1","33.25035936114028","0","0","0","0","0","True","6","6","0","0"
"0.05","2","2","0","0","0","0","0","0","True","9","9","0","0"
"0.05","3","0","6.271159470303579","0","0","0","0","0","True","8","8","0","0"
"0.05","3","1","32.884440359308954","0","0","0","0","0","True","6","6","0","0"
"0.05","3","2","2.016922185534021","0","0","0","0","0","True","9","9","0","0"
"0.1","1","0","6.320892311373145","-2.0964671291818275","1.4470350736591886","-2.1726434840328803","-0.5018462353701316","-0.3072367352037895","False","7","8","2055.6586253349997","-1.5309322900000004"
"0.1","1","1","35.555271699067106","0","0","0","0","0","True","6","6","0","0"
"0.1","1","2","-0.7679404279247458","0","0","0","0","0","True","9","9","0","0"
"0.1","2","0","10.198843306700917","0","0","0","0","0","True","7","7","0","0"
"0.1","2","1","33.25035936114028","0","0","0","0","0","True","6","6","0","0"
"0.1","2","2","0","0","0","0","0","0","True","9","9","0","0"
"0.1","3","0","6.271159470303579","0","0","0","0","0","True","8","8","0","0"
"0.1","3","1","32.884440359308954","-9.430698775851738","2.2867382330923425","-7.81309308935531","-7.547141310394103","-6.351782844851709","False","6","7","2008.0327030794997","-0.048559059999999994"
"0.1","3","2","2.016922185534021","0","0","0","0","0","True","9","9","0","0"
