"lambda","n","CSAA_SAA","Mean","SD","Q95","CVaR","Max","MeanWins","All5","Changed","SelC","SelR","dMQC","dSpotPctPt"
"0.05","9","13.969994251722584","-0.23294079213131416","0.16078167485102096","-0.24140483155920892","-0.055760692818903515","-0.03413741502264328","0","0","1","7.444444444444445","7.555555555555555","228.40651392611107","-0.17010358777777781"
"0.1","9","13.969994251722584","-1.2807962116703964","0.4148637007501701","-1.1095262859320212","-0.8943319495293593","-0.7398910644506109","0","0","2","7.444444444444445","7.666666666666667","451.52125871272216","-0.17549903888888896"
