"tag","exit","seconds"
"L0p05_D2","0","88.6"
"L0p05_D3","0","94.6"
"L0p05_D1","0","94.9"
"L0p1_D3","0","78.5"
"L0p1_D1","0","92.8"
"L0p1_D2","0","90.7"
