"S","lambda","n","ESS","CSAA_vs_SAA_Mean","DRO_vs_CSAA_Mean","SD","Q95","CVaR","Max","MeanWins","All5Wins","deltaSelected","deltaMqc"
"30","0.01","9","5.8518613428","0.6386968084112546","11.11111111111111","11.11111111111111","11.111111111111112","11.11111111111111","11.11111111111111","1","1","-1","-28.51206132638889"
"30","0.05","9","5.8518613428","0.6386968084112546","0","0","0","0","0","0","0","0","0"
"30","0.1","9","5.8518613428","0.6386968084112546","11.11111111111111","11.11111111111111","11.11111111111111","11.11111111111111","11.11111111111111","1","1","-1","-30.130328206344448"
"45","0.01","9","14.298992335933333","0.7168707122337936","0","0","0","0","0","0","0","0","0"
"45","0.05","9","14.298992335933333","0.7168707122337936","-0.41924949460425465","-0.1067338623030992","-0.1539458142375816","-0.204145471714376","-0.24587473074015653","0","0","0","142.15375397291103"
"45","0.1","9","14.298992335933333","0.7168707122337936","10.691861616506856","11.004377248808012","10.95716529687353","10.906965639396736","10.865236380370956","1","1","-1","-1622.6213461228"
"60","0.01","9","8.079750903566667","13.783996489204918","11.111111111111112","11.11111111111111","11.11111111111111","11.11111111111111","11.11111111111111","1","1","-0.7777777777777778","-574.0135598525444"
"60","0.05","9","8.079750903566667","13.783996489204918","0","0","0","0","0","0","0","0","0"
"60","0.1","9","8.079750903566667","13.783996489204918","-0.9433562778121372","2.378685683259277","-0.6188130051397132","-0.21043620175641142","1.455279882331673","0","0","0.1111111111111111","354.1335525329445"
