"S","lambda","n","ESS","CSAA_SAA","Mean","SD","Q95","CVaR","Max","MeanWins","All5","dSel","dMQC"
"30","0.01","8","5.740609747925001","0.7185339094626615","0","0","0","0","0","0","0","0","0"
"30","0.05","9","5.8518613428","0.6386968084112546","0","0","0","0","0","0","0","0","0"
"30","0.1","8","5.740609747924999","0.5192643334277778","0","0","0","0","0","0","0","0","0"
"45","0.01","9","14.298992335933333","0.7168707122337936","0","0","0","0","0","0","0","0","0"
"45","0.05","9","14.298992335933333","0.7168707122337936","-0.41924949460425465","-0.1067338623030992","-0.1539458142375816","-0.204145471714376","-0.24587473074015653","0","0","0","142.15375397291103"
"45","0.1","8","13.2330111553375","0.8064795512630178","-0.4716556814297865","-0.1200755950909866","-0.1731890410172793","-0.229663655678673","-0.2766090720826761","0","0","0","159.92297321952492"
"60","0.01","8","8.196182195175","14.229993955460953","0","0","0","0","0","0","0","0","0"
"60","0.05","9","8.079750903566667","13.783996489204918","0","0","0","0","0","0","0","0","0"
"60","0.1","9","8.079750903566667","13.783996489204918","-0.9433562778121372","2.378685683259277","-0.6188130051397132","-0.21043620175641142","1.455279882331673","0","0","0.1111111111111111","354.1335525329445"
