"tag","exit","seconds"
"S30_L0p25_D2","0","52.4"
"S30_L0p25_D1","0","52.7"
"S30_L0p25_D3","0","54.6"
"S30_L0p5_D3","0","48.2"
"S30_L0p5_D1","0","50.6"
"S30_L0p5_D2","0","52.7"
"S45_L0p25_D1","0","50.5"
"S45_L0p25_D3","0","56.4"
"S45_L0p25_D2","0","60.7"
"S45_L0p5_D1","0","48.6"
"S45_L0p5_D3","0","56.5"
"S45_L0p5_D2","0","60.8"
"S60_L0p25_D1","0","100.8"
"S60_L0p25_D3","0","92.5"
"S60_L0p25_D2","0","96.8"
"S60_L0p5_D1","0","86.7"
"S60_L0p5_D3","0","80.5"
"S60_L0p5_D2","0","88.7"
