"S","lambda","design","query","ess","csaaSaa","mean","sd","q95","cvar","max","dsel","dmqc","dspot"
"60","0.01","2","1","7.5981926933","33.247948331134644","0","0","0","0","0","0","0","0"
"60","0.01","2","2","9.4927594467","0","0","0","0","0","0","0","0","0"
"60","0.01","3","0","7.1483005707","8.66502552389438","0","0","0","0","0","0","0","0"
"60","0.01","3","1","7.5981926933","32.88080712397771","0","0","0","0","0","0","0","0"
"60","0.01","3","2","9.4927594467","2.06011526986198","0","0","0","0","0","0","0","0"
"60","0.05","1","0","7.1483005707","2.1279559220206177","0","0","0","0","0","0","0","0"
"60","0.05","1","1","7.5981926933","35.60771604048344","0","0","0","0","0","0","0","0"
"60","0.05","1","2","9.4927594467","-0.749616567685151","0","0","0","0","0","0","0","0"
"60","0.05","2","0","7.1483005707","10.216016759156641","0","0","0","0","0","0","0","0"
"60","0.05","2","1","7.5981926933","33.247948331134644","0","0","0","0","0","0","0","0"
"60","0.05","2","2","9.4927594467","0","0","0","0","0","0","0","0","0"
"60","0.05","3","0","7.1483005707","8.66502552389438","0","0","0","0","0","0","0","0"
"60","0.05","3","1","7.5981926933","32.88080712397771","0","0","0","0","0","0","0","0"
"60","0.05","3","2","9.4927594467","2.06011526986198","0","0","0","0","0","0","0","0"
"60","0.1","1","0","7.1483005707","2.1279559220206177","0","0","0","0","0","0","0","0"
"60","0.1","1","1","7.5981926933","35.60771604048344","-5.684455768583592","20.570003234230406","-3.649207859249777","-0.5549390499045443","14.719243950816189","0","1807.1072294290007","-0.42228661999999995"
"60","0.1","1","2","9.4927594467","-0.749616567685151","0","0","0","0","0","0","0","0"
"60","0.1","2","0","7.1483005707","10.216016759156641","0","0","0","0","0","0","0","0"
"60","0.1","2","1","7.5981926933","33.247948331134644","0","0","0","0","0","0","0","0"
"60","0.1","2","2","9.4927594467","0","0","0","0","0","0","0","0","0"
"60","0.1","3","0","7.1483005707","8.66502552389438","-2.805750731725643","0.8381679151030884","-1.9201091870076412","-1.3389867659031585","-1.621725009831132","1","1380.0947433675","-0.40234533999999944"
"60","0.1","3","1","7.5981926933","32.88080712397771","0","0","0","0","0","0","0","0"
"60","0.1","3","2","9.4927594467","2.06011526986198","0","0","0","0","0","0","0","0"
"30","0.25","1","0","6.7418741018","0","0","0","0","0","0","0","0","0"
"30","0.25","1","1","5.7370916232","0.4881716852326604","0","0","0","0","0","0","0","0"
"30","0.25","1","2","5.0766183034","0","0","0","0","0","0","0","0","0"
"30","0.25","2","0","6.7418741018","2.2035793628642866","0","0","0","0","0","0","0","0"
"30","0.25","2","1","5.7370916232","0","0","0","0","0","0","0","0","0"
"30","0.25","2","2","5.0766183034","-0.8974562092176018","0","0","0","0","0","0","0","0"
"30","0.25","3","0","6.7418741018","1.594156608279069","0","0","0","0","0","0","0","0"
"30","0.25","3","1","5.7370916232","0.7675119881703744","0","0","0","0","0","0","0","0"
"30","0.25","3","2","5.0766183034","1.5923078403725028","0","0","0","0","0","0","0","0"
"30","0.5","1","0","6.7418741018","0","-1.8515410975150994","0.07882068873234667","-2.3769204056159574","-1.0112524867455162","-0.20367315091817786","0","85.26152984390001","0.04340038999999796"
"30","0.5","1","1","5.7370916232","0.4881716852326604","0","0","0","0","0","0","0","0"
"30","0.5","1","2","5.0766183034","0","0","0","0","0","0","0","0","0"
"30","0.5","2","0","6.7418741018","2.2035793628642866","0","0","0","0","0","0","0","0"
"30","0.5","2","1","5.7370916232","0","-0.6228460343577663","1.1468596040868235","0.36532960575437046","-0.03371754632618892","-0.5749160766471566","0","-115.44268645250031","-0.040570799999999074"
"30","0.5","2","2","5.0766183034","-0.8974562092176018","0","0","0","0","0","0","0","0"
"30","0.5","3","1","5.7370916232","0.7675119881703744","0","0","0","0","0","0","0","0"
"30","0.5","3","2","5.0766183034","1.5923078403725028","0","0","0","0","0","0","0","0"
"45","0.25","1","0","22.8268417807","0","0","0","0","0","0","0","0","0"
"45","0.25","1","1","10.3067035268","0","0","0","0","0","0","0","0","0"
"45","0.25","1","2","9.7634317003","0","0","0","0","0","0","0","0","0"
"45","0.25","2","0","22.8268417807","3.636048419825146","-3.773245451438292","-0.9606047607278928","-1.3855123281382344","-1.837309245429384","-2.212872576661409","0","1279.3837857561994","0.9860428000000004"
"45","0.25","2","1","10.3067035268","-0.08814167952176453","0","0","0","0","0","0","0","0"
"45","0.25","2","2","9.7634317003","0.6617920583983006","0","0","0","0","0","0","0","0"
"45","0.25","3","0","22.8268417807","0","0","0","0","0","0","0","0","0"
"45","0.25","3","1","10.3067035268","0.062370092909044085","0","0","0","0","0","0","0","0"
