replication	distribution	capacity_scale	training_size	method	status	certified	objective	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
1	BETA_0_5_0_5	0.7500	0	D	Optimal	true	93508.7601196309	0.009644	9	0|2|3|5|6|7|8|10|11	100757.3080521735	12757.9746957905	121950.4201230650	126959.9823902338	140626.5799164476	0.0140792089	14.1615487011
1	BETA_0_5_0_5	0.7500	10	SAA	Optimal	true	94711.7993126900	0.054223	9	0|2|3|5|6|7|8|10|11	100757.3080521735	12757.9746957905	121950.4201230650	126959.9823902338	140626.5799164476	0.0140792089	14.1615487011
1	BETA_0_5_0_5	0.7500	60	SAA	Optimal	true	100179.7003767014	3.108567	9	0|2|3|5|6|7|8|10|11	100757.3080521735	12757.9746957905	121950.4201230650	126959.9823902338	140626.5799164476	0.0140792089	14.1615487011
2	BETA_0_5_0_5	0.7500	0	D	Optimal	true	88087.9600123146	0.007894	9	0|1|2|3|4|6|7|9|11	95014.5186479019	11343.5164673864	113974.3757116352	118524.1650882847	135255.8789783826	0.0284952526	45.4888637667
2	BETA_0_5_0_5	0.7500	10	SAA	Optimal	true	91919.7820872007	0.081144	9	0|1|2|3|4|6|7|9|11	95014.5186479019	11343.5164673864	113974.3757116352	118524.1650882847	135255.8789783826	0.0284952526	45.4888637667
2	BETA_0_5_0_5	0.7500	60	SAA	Optimal	true	95017.9897480113	2.397884	9	0|1|2|3|4|6|7|9|11	95014.5186479019	11343.5164673864	113974.3757116352	118524.1650882847	135255.8789783826	0.0284952526	45.4888637667
3	BETA_0_5_0_5	0.7500	0	D	Optimal	true	72265.3475251218	0.008700	9	0|2|3|4|5|6|7|8|9	80617.8729363330	9190.8321774355	96198.2422639112	100406.5957739315	110382.2590555019	0.0308730372	522.3844911329
3	BETA_0_5_0_5	0.7500	10	SAA	Optimal	true	83594.2560192979	0.108312	9	0|2|3|4|5|6|7|8|9	80617.8729363330	9190.8321774355	96198.2422639112	100406.5957739315	110382.2590555019	0.0308730372	522.3844911329
3	BETA_0_5_0_5	0.7500	60	SAA	Optimal	true	82647.6232539554	3.815500	9	0|2|3|4|5|6|7|8|9	80617.8729363330	9190.8321774355	96198.2422639112	100406.5957739315	110382.2590555019	0.0308730372	522.3844911329
4	BETA_0_5_0_5	0.7500	0	D	Optimal	true	82462.8450813921	0.009552	9	0|3|4|6|7|8|9|10|11	90079.0224377384	11094.4844926259	109453.4292310451	113856.5092371568	131395.2399130353	0.0219239106	271.2276415410
4	BETA_0_5_0_5	0.7500	10	SAA	Optimal	true	90526.0536812420	0.123137	9	0|3|4|6|7|8|9|10|11	90079.0224377384	11094.4844926259	109453.4292310451	113856.5092371568	131395.2399130353	0.0219239106	271.2276415410
4	BETA_0_5_0_5	0.7500	60	SAA	Optimal	true	88235.3023246080	3.995729	9	0|3|4|6|7|8|9|10|11	90079.0224377384	11094.4844926259	109453.4292310451	113856.5092371568	131395.2399130353	0.0219239106	271.2276415410
5	BETA_0_5_0_5	0.7500	0	D	Optimal	true	88896.0802397526	0.028250	9	1|2|3|4|6|8|9|10|11	97898.5247445421	12280.3507186808	118203.0639456519	123260.6243459343	141704.7575663420	0.0276018466	24.6649349170
5	BETA_0_5_0_5	0.7500	10	SAA	Optimal	true	95255.8727921568	0.132622	9	2|3|4|6|7|8|9|10|11	97107.5763613863	11763.2455939510	116324.7909819776	121309.2312331935	140681.9257974070	0.0292177696	41.8603208847
5	BETA_0_5_0_5	0.7500	60	SAA	Optimal	true	94399.0870927358	3.993151	9	2|3|4|6|7|8|9|10|11	97107.5763613863	11763.2455939510	116324.7909819776	121309.2312331935	140681.9257974070	0.0292177696	41.8603208847
