replication	volatility	oos_total_mean	oos_total_cv	mean_lane_cv	min_lane_cv	max_lane_cv
1	LOW	1608.1790559157	0.1019209823	0.2098513080	0.1221183170	0.2942483912
1	MEDIUM	1592.4450740551	0.2460004577	0.5141224911	0.4157850900	0.5910626388
1	HIGH	1580.1163033640	0.3777164889	0.8218395213	0.6860967797	0.9777001974
2	LOW	2227.0395306591	0.1025184857	0.2101182969	0.1150947365	0.2973463328
2	MEDIUM	2220.9651915830	0.2251816260	0.5049206701	0.3933106379	0.5915182101
2	HIGH	2212.3773277284	0.3357347714	0.7933484383	0.6456934556	0.9829107050
3	LOW	1925.5366017396	0.0841610886	0.2008849952	0.1135839938	0.3161979526
3	MEDIUM	1905.4122705430	0.2094459507	0.5001680836	0.4059070624	0.6794187314
3	HIGH	1888.8941503849	0.3271765438	0.7973444538	0.6756064600	1.0603893215
4	LOW	2145.2503179763	0.0823997927	0.1963207490	0.1207978009	0.2972754210
4	MEDIUM	2184.3570552267	0.2176390375	0.4972904055	0.4293028838	0.6060800184
4	HIGH	2217.3835778693	0.3420966168	0.7983394104	0.7120467456	0.9601276647
5	LOW	1650.7993452828	0.1082950938	0.2139684454	0.1060252004	0.2903154276
5	MEDIUM	1662.0272327821	0.2470659766	0.5127227907	0.4064849536	0.5979253841
5	HIGH	1670.6013104852	0.3720051750	0.8045873721	0.6833644783	0.9056759927
6	LOW	2332.3412782345	0.0896259607	0.2132715212	0.1275973948	0.3054027947
6	MEDIUM	2324.0116650148	0.2156266541	0.5107522762	0.4331532417	0.6496205196
6	HIGH	2316.3234959937	0.3329483425	0.7991231515	0.6778760520	1.0192988402
7	LOW	1750.7963130489	0.1119802763	0.2063524451	0.1144648382	0.3015336011
7	MEDIUM	1767.8122242410	0.2522626387	0.5079551856	0.4025530345	0.6148812269
7	HIGH	1785.2891142157	0.3808390119	0.8081855728	0.6652280903	1.0312967201
8	LOW	1523.3602182773	0.1095217494	0.2119643666	0.1253359177	0.3188544382
8	MEDIUM	1508.6524083688	0.2548816524	0.5144660921	0.4165310284	0.7529228497
8	HIGH	1497.5183189883	0.3868323661	0.8183276541	0.6820958472	1.4281550768
9	LOW	1746.3548617944	0.0822762032	0.1968987044	0.1003245998	0.2947618311
9	MEDIUM	1736.8447419504	0.2159275492	0.4906295658	0.3871283470	0.6027654273
9	HIGH	1724.0582051464	0.3431256989	0.7811791007	0.6922141678	0.9211935658
10	LOW	1960.4293663193	0.1135067078	0.2096636578	0.1152201296	0.2750539123
10	MEDIUM	1977.8412622906	0.2582032759	0.5104831963	0.4016913124	0.5936029670
10	HIGH	1993.6839823276	0.3936144990	0.8111604143	0.6619371165	0.9902027596
11	LOW	1837.0333749478	0.0937179900	0.1940091734	0.1003526751	0.3009202698
11	MEDIUM	1842.7212411485	0.2373003764	0.5009750869	0.3996619743	0.6571272737
11	HIGH	1850.5756955282	0.3736744181	0.8134062250	0.7002908370	1.1196675083
12	LOW	2365.4653015198	0.0938533413	0.1940775419	0.1065538928	0.2937609979
12	MEDIUM	2367.6276292762	0.2339466470	0.4931652132	0.4126603444	0.5711548683
12	HIGH	2369.7472977544	0.3646902666	0.7931052073	0.6671626630	0.8956723064
13	LOW	2175.1658441994	0.0956579433	0.2022899509	0.1119699667	0.2886745037
13	MEDIUM	2201.3765804308	0.2452224202	0.5092181957	0.3962174989	0.6010187504
13	HIGH	2229.0231609522	0.3800376410	0.8104721757	0.6542599594	0.9137368546
14	LOW	2359.5701767413	0.1078282811	0.2201005189	0.1206203961	0.2923318379
14	MEDIUM	2369.2618473901	0.2628156120	0.5280368752	0.4221609029	0.6249786945
14	HIGH	2384.0012845311	0.4010538718	0.8342092535	0.7042938547	1.0168851171
15	LOW	1793.5677016936	0.1078392869	0.2156504609	0.1084232103	0.3118026647
15	MEDIUM	1808.6842676086	0.2410018739	0.5181460751	0.4100028900	0.6309321528
15	HIGH	1825.4569244845	0.3644280714	0.8146704765	0.7081244764	0.9721878340
16	LOW	1969.9260258839	0.1107719027	0.2280920379	0.1142199398	0.2934552073
16	MEDIUM	1959.4792239648	0.2440103448	0.5218055687	0.4052093015	0.5889350340
16	HIGH	1948.4744535429	0.3645776179	0.8027720234	0.6820307523	0.8917813282
17	LOW	2512.6473584264	0.0883703219	0.1692621251	0.1007280538	0.3199883896
17	MEDIUM	2529.7796392012	0.2362820676	0.4683834955	0.3946106166	0.6732178968
17	HIGH	2545.7651484815	0.3765374613	0.7630712926	0.6381865210	1.0570065707
18	LOW	1734.7196500130	0.0963388260	0.2012860444	0.1045830148	0.2842168109
18	MEDIUM	1733.4592017165	0.2325494578	0.5040026312	0.4109713774	0.6173512025
18	HIGH	1733.4332069148	0.3596956699	0.8095820079	0.7065122371	1.0052228290
19	LOW	2060.3600951761	0.0945001223	0.1918006541	0.1066514836	0.2989097920
19	MEDIUM	2062.3279105738	0.2274277365	0.4921828431	0.4014106909	0.6169642810
19	HIGH	2066.0343762291	0.3507680753	0.7918654081	0.6796009145	0.9902860729
20	LOW	1749.0875811597	0.0954579707	0.2084752284	0.1015033499	0.2643113837
20	MEDIUM	1761.8985415891	0.2320699533	0.5112260031	0.3923912139	0.5836622081
20	HIGH	1776.0121859289	0.3621090109	0.8130189951	0.6857988143	0.9222490837
