replication	design	base_cv	top5_share	mean_loading_cosine	mean_context_share_tv	q95_context_share_tv	total_conditional_mean_cv	mean_lane_q90_q10_ratio
95	original	0.2757285238	0.1386828495	0.9673567607	0.0100677099	0.0157042279	0.1310567904	1.4177959071
96	original	0.2972455253	0.1385724396	0.9749213058	0.0090205648	0.0140059195	0.1298667642	1.4122151798
97	original	0.3060388423	0.1445426528	0.9753161852	0.0086317547	0.0132019443	0.1348795751	1.4297864575
98	original	0.2889936170	0.1389356780	0.9743562632	0.0089438656	0.0139503951	0.1286994878	1.4151453942
99	original	0.2706962149	0.1405195647	0.9754440219	0.0089623870	0.0136697515	0.1334437648	1.4282459182
100	original	0.3188935229	0.1429838918	0.9731336239	0.0091341342	0.0139944672	0.1324682271	1.4270975586
101	original	0.3069631426	0.1471246272	0.9694221386	0.0097838345	0.0152761633	0.1334956456	1.4311885340
102	original	0.2804032199	0.1417568461	0.9721080424	0.0096365592	0.0147915777	0.1330059991	1.4224817601
103	original	0.2577019552	0.1432024546	0.9716452284	0.0095970760	0.0150781575	0.1302807492	1.4170844469
104	original	0.2789996858	0.1418708892	0.9745516844	0.0089536411	0.0133950324	0.1291876393	1.4154626036
105	original	0.2589571790	0.1459144267	0.9708467021	0.0093725162	0.0146765670	0.1331010020	1.4226297116
106	original	0.3113114319	0.1506416607	0.9719962903	0.0090191432	0.0135723187	0.1317667239	1.4249754622
107	original	0.2757909269	0.1421287948	0.9789894894	0.0083862019	0.0132917505	0.1339493551	1.4246125558
108	original	0.3002462829	0.1429511721	0.9773323726	0.0085851633	0.0135673968	0.1288152689	1.4029510273
109	original	0.3335946338	0.1491244522	0.9742813544	0.0089410126	0.0135327869	0.1330827459	1.4273285988
110	original	0.3078699791	0.1464947461	0.9713986236	0.0094213440	0.0144233995	0.1351370967	1.4426379859
111	original	0.3393766781	0.1614333871	0.9669310369	0.0099314164	0.0155209750	0.1331096441	1.4322133543
112	original	0.2936794910	0.1447783428	0.9746000978	0.0090147430	0.0137868514	0.1309531362	1.4175375440
113	original	0.2881155188	0.1446026841	0.9719884158	0.0092445496	0.0147437447	0.1302220929	1.4145215374
114	original	0.2698492182	0.1395923235	0.9730938746	0.0092389939	0.0142742320	0.1358734734	1.4392139906
115	original	0.2983660873	0.1455804846	0.9728709775	0.0091526052	0.0140667615	0.1268834712	1.4077778801
116	original	0.3123350184	0.1446838974	0.9738366273	0.0091109055	0.0137296783	0.1298882250	1.4194856929
117	original	0.2740012992	0.1379630606	0.9710594535	0.0094817874	0.0151550844	0.1348361536	1.4411016779
118	original	0.2977201834	0.1502808012	0.9756018004	0.0086652685	0.0131676173	0.1308732624	1.4238418894
119	original	0.2882037863	0.1500151908	0.9718109867	0.0090190624	0.0137500662	0.1356797221	1.4403271826
120	original	0.2472648296	0.1391974142	0.9687717599	0.0098815691	0.0155087351	0.1292252738	1.4169998621
